n_vars,n_lines,avg_time
10,1,0.002202939987182617
10,10,0.022495579719543458
10,100,0.2507298707962036
10,1000,2.4056547403335573
11,1,0.005483365058898926
11,10,0.05066816806793213
11,100,0.5069338798522949
11,1000,4.993861484527588
12,1,0.008430838584899902
12,10,0.10062916278839111
12,100,1.0387985467910767
12,1000,10.539468932151795
13,1,0.029988884925842285
13,10,0.22212567329406738
13,100,2.172808027267456
13,1000,21.868900656700134
14,1,0.04048600196838379
14,10,0.470007061958313
14,100,4.639216566085816
14,1000,46.00085890293121
15,1,0.10529518127441406
15,10,0.9851341962814331
15,100,9.56497781276703
15,1000,96.36456677913665
16,1,0.1810317039489746
16,10,1.899328851699829
16,100,19.99632306098938
16,1000,201.05044527053832
